,Powierzchnia,Liczba pokoi,Rynek,Rodzaj zabudowy,Piętro,Liczba pięter,Materiał budynku,Ogrzewanie,Rok budowy,Stan wykończenia,Forma własności,Okna,Czynsz,Dostępne od,Cena
0,52.20,3,wtórny,apartamentowiec,3,4,pustak,miejskie,2019,do zamieszkania,,,,,349740.0
1,59.07,3,wtórny,blok,1,10,pustak,miejskie,,do wykończenia,,,,,326598.0
2,54.03,3,pierwotny,blok,2,6,,,,,,,,,329583.0
3,43,2,wtórny,blok,1,10,inne,miejskie,1976,do zamieszkania,spółdzielcze wł. z KW,,,,305000.0
4,53,3,wtórny,blok,4,4,wielka płyta,miejskie,,,spółdzielcze własnościowe,plastikowe,506,,259000.0
5,42.28,2,pierwotny,,0,,,,,,,,,,271000.0
6,78,2,wtórny,apartamentowiec,2,4,pustak,miejskie,2010,do zamieszkania,pełna własność,,770,,750000.0
7,25.60,1,wtórny,apartamentowiec,1,5,żelbet,miejskie,2020,do zamieszkania,pełna własność,,150,,188000.0
8,47.48,2,pierwotny,blok,2,3,,,,do wykończenia,pełna własność,,,,293377.0
9,37,2,wtórny,blok,1,4,,gazowe,,do zamieszkania,spółdzielcze własnościowe,,,,155000.0
10,135,7,wtórny,,1,4,inne,miejskie,,do remontu,pełna własność,drewniane,,,540000.0
11,110,4,wtórny,kamienica,3,5,,gazowe,,do zamieszkania,pełna własność,plastikowe,300,2019-04-10,499999.0
12,42.28,2,pierwotny,,0,,,,,,,,,,271000.0
13,80.76,5,wtórny,blok,3,4,cegła,miejskie,1980,,pełna własność,plastikowe,1 000,,350000.0
14,55.02,2,pierwotny,blok,0,7,pustak,miejskie,2020,do wykończenia,pełna własność,plastikowe,,,355000.0
15,64.44,3,pierwotny,blok,3,7,pustak,miejskie,2020,do wykończenia,pełna własność,plastikowe,,,442000.0
16,42,2,pierwotny,apartamentowiec,8,8,pustak,miejskie,2019,do wykończenia,pełna własność,plastikowe,100,,326000.0
17,81,3,wtórny,kamienica,1,4,cegła,inne,1900,,pełna własność,plastikowe,,,389000.0
18,78.60,4,wtórny,apartamentowiec,1,3,cegła,gazowe,2009,do zamieszkania,pełna własność,drewniane,350,2016-01-01,549000.0
19,114.15,4,pierwotny,apartamentowiec,3,,,miejskie,,,,,,,810465.0
20,90.50,4,pierwotny,apartamentowiec,2,5,,miejskie,2018,do wykończenia,pełna własność,,,,513600.0
21,89.44,4,wtórny,apartamentowiec,0,2,pustak,miejskie,2018,do wykończenia,pełna własność,plastikowe,,,572416.0
22,47.48,2,pierwotny,blok,1,3,,,2020,do wykończenia,pełna własność,,,,290823.0
23,66.33,3,wtórny,blok,2,10,,miejskie,1990,,spółdzielcze własnościowe,plastikowe,560,,355000.0
24,88.13,3,pierwotny,apartamentowiec,2,3,,,2020,do wykończenia,pełna własność,,,,608097.0
25,67,4,wtórny,blok,2,10,,miejskie,1990,,pełna własność,plastikowe,560,,355000.0
26,50.05,2,wtórny,apartamentowiec,0,4,,miejskie,,do wykończenia,pełna własność,,,,312912.6
27,63,3,pierwotny,apartamentowiec,1,5,beton,miejskie,2018,do wykończenia,pełna własność,plastikowe,,2019-08-30,289800.0
28,51.33,3,pierwotny,blok,4,5,,miejskie,2019,,pełna własność,plastikowe,,,336212.0
29,53.91,3,pierwotny,blok,2,10,,miejskie,2019,,,,,,318069.0
30,34.75,1,wtórny,blok,2,4,cegła,,,do zamieszkania,pełna własność,plastikowe,200,2019-04-15,159000.0
31,43,2,pierwotny,apartamentowiec,1,5,beton,miejskie,2018,do wykończenia,pełna własność,plastikowe,,2019-08-30,197800.0
32,41,2,wtórny,kamienica,0,2,cegła,,,do zamieszkania,pełna własność,plastikowe,150,,263000.0
33,87,5,wtórny,blok,4,2,cegła,miejskie,1990,do zamieszkania,pełna własność,plastikowe,438.60,2019-06-01,370000.0
34,45,2,wtórny,blok,3,,,miejskie,,,spółdzielcze własnościowe,,,,220000.0
35,46.73,3,pierwotny,blok,0,8,,miejskie,2019,,,,,,366831.0
36,48,3,wtórny,kamienica,0,4,cegła,,,,,,320,,199000.0
37,160,5,wtórny,kamienica,2,2,cegła,elektryczne,1930,do remontu,pełna własność,plastikowe,400,2019-04-15,470000.0
38,61.12,3,pierwotny,apartamentowiec,1,4,,miejskie,2019,do wykończenia,pełna własność,,160,,337974.0
39,40.70,2,pierwotny,apartamentowiec,2,8,,miejskie,2019,do wykończenia,pełna własność,,90,,313080.0
40,80,4,wtórny,apartamentowiec,1,3,beton,inne,2011,do zamieszkania,pełna własność,plastikowe,,,549000.0
41,59,3,wtórny,blok,4,4,,miejskie,1974,,pełna własność,plastikowe,640,,270000.0
42,58.40,3,wtórny,blok,7,14,,miejskie,1980,,pełna własność,plastikowe,423,,385440.0
43,56,4,wtórny,blok,4,4,,miejskie,,do zamieszkania,pełna własność,,460,2019-04-15,279000.0
44,131.68,5,pierwotny,apartamentowiec,,,,miejskie,,do wykończenia,pełna własność,,,,935000.0
45,41.65,2,pierwotny,apartamentowiec,7,8,pustak,miejskie,2019,do wykończenia,pełna własność,plastikowe,,,307044.0
46,72.12,4,wtórny,,9,10,,,,,pełna własność,,,2019-04-15,315000.0
47,62,3,wtórny,blok,7,7,wielka płyta,miejskie,1980,do zamieszkania,spółdzielcze wł. z KW,plastikowe,680,2019-04-15,325000.0
48,47,2,wtórny,apartamentowiec,3,4,inne,miejskie,2009,do zamieszkania,pełna własność,plastikowe,480,2019-04-15,336050.0
49,47.30,2,wtórny,blok,0,4,,miejskie,1980,do remontu,spółdzielcze własnościowe,,540,,210000.0
50,55,2,wtórny,blok,3,10,wielka płyta,miejskie,,,pełna własność,plastikowe,600,,249000.0
51,55.30,3,wtórny,blok,4,4,,miejskie,1970,,spółdzielcze własnościowe,drewniane,560,,289000.0
52,76,3,wtórny,blok,2,4,,miejskie,1960,do zamieszkania,pełna własność,plastikowe,,2019-01-01,289000.0
53,51.99,3,pierwotny,blok,,,,miejskie,2019,,,,,,320233.0
54,44.79,3,pierwotny,blok,,,,,2019,,pełna własność,,,,268299.0
55,41.65,2,pierwotny,blok,,,,,2019,,pełna własność,,,,307044.0
56,30.90,1,wtórny,blok,3,3,pustak,,2015,do zamieszkania,pełna własność,plastikowe,120,2019-04-01,198600.0
57,45.90,2,wtórny,blok,0,2,cegła,miejskie,,,spółdzielcze wł. z KW,,650,,275000.0
58,54.49,2,pierwotny,apartamentowiec,0,2,,,,,pełna własność,plastikowe,,,408000.0
59,55.65,2,pierwotny,,3,,,,,,,,,,367000.0
60,72.12,4,wtórny,blok,9,,wielka płyta,miejskie,1980,do zamieszkania,spółdzielcze własnościowe,plastikowe,,,315000.0
61,57.17,3,wtórny,blok,0,2,,gazowe,1970,do zamieszkania,pełna własność,plastikowe,300,,299000.0
62,75,4,wtórny,blok,6,7,,miejskie,1981,do remontu,,plastikowe,470,,279000.0
63,78.73,3,wtórny,blok,9,10,,miejskie,,,,plastikowe,570,,287000.0
64,55.83,3,pierwotny,blok,2,2,pustak,,,,pełna własność,,,,360103.5
65,106,3,wtórny,apartamentowiec,2,4,,,,do zamieszkania,spółdzielcze własnościowe,,,,470000.0
66,60,3,wtórny,kamienica,1,4,cegła,elektryczne,,do zamieszkania,pełna własność,plastikowe,370,2019-04-14,349000.0
67,47,2,pierwotny,apartamentowiec,1,8,pustak,miejskie,2019,do wykończenia,pełna własność,plastikowe,100,,333000.0
68,50,3,pierwotny,apartamentowiec,3,,pustak,miejskie,,,pełna własność,plastikowe,,,365000.0
69,63,3,wtórny,blok,3,,wielka płyta,miejskie,,,pełna własność,plastikowe,200,2019-04-02,275500.0
70,108,4,wtórny,apartamentowiec,0,2,,miejskie,1993,do zamieszkania,pełna własność,drewniane,,,690000.0
71,55.50,2,pierwotny,apartamentowiec,1,2,pustak,miejskie,2018,,pełna własność,plastikowe,150,,315000.0
72,67,2,pierwotny,apartamentowiec,1,2,pustak,miejskie,2018,do wykończenia,pełna własność,plastikowe,150,,370000.0
73,41,2,pierwotny,apartamentowiec,3,8,pustak,miejskie,2019,do wykończenia,pełna własność,plastikowe,80,,318370.0
74,35,1,pierwotny,apartamentowiec,1,14,,miejskie,2019,do wykończenia,pełna własność,plastikowe,70,,235000.0
75,46,3,pierwotny,apartamentowiec,3,14,,miejskie,2020,do wykończenia,pełna własność,plastikowe,100,,305000.0
76,70,2,wtórny,,,,,,,,,,,,155000.0
77,46,2,pierwotny,apartamentowiec,3,14,,miejskie,2020,do wykończenia,pełna własność,plastikowe,100,,295000.0
78,70,4,pierwotny,apartamentowiec,4,14,,miejskie,2020,do wykończenia,pełna własność,plastikowe,150,,455000.0
79,50,3,pierwotny,apartamentowiec,4,14,,miejskie,2020,do wykończenia,pełna własność,plastikowe,100,,325000.0
80,28.20,1,wtórny,apartamentowiec,2,,,miejskie,2019,do wykończenia,pełna własność,plastikowe,,2019-04-22,276360.0
81,49.53,3,wtórny,apartamentowiec,3,10,cegła,miejskie,2019,do wykończenia,pełna własność,plastikowe,,,282321.0
82,36.72,2,wtórny,apartamentowiec,3,10,cegła,miejskie,2019,do wykończenia,pełna własność,plastikowe,,,227664.0
83,106.73,5,wtórny,apartamentowiec,,4,,miejskie,2019,do wykończenia,,plastikowe,,,608361.0
84,140,5,pierwotny,apartamentowiec,10,14,,miejskie,2020,do wykończenia,pełna własność,plastikowe,250,,1099000.0
85,94,4,pierwotny,apartamentowiec,10,14,,miejskie,2020,do wykończenia,pełna własność,plastikowe,200,,685000.0
86,80,4,pierwotny,apartamentowiec,1,14,,miejskie,2020,do wykończenia,pełna własność,plastikowe,200,,495000.0
87,59.07,4,wtórny,apartamentowiec,3,10,cegła,miejskie,2019,do wykończenia,pełna własność,plastikowe,,2019-04-01,348513.0
88,64.71,3,wtórny,blok,0,3,cegła,miejskie,1960,do zamieszkania,pełna własność,plastikowe,600,,425000.0
89,71.88,3,wtórny,kamienica,4,4,cegła,gazowe,,do zamieszkania,pełna własność,drewniane,350,,420000.0
90,55.83,3,pierwotny,blok,2,2,pustak,,,,pełna własność,,,,360103.5
91,94.35,3,wtórny,kamienica,4,4,cegła,,,do zamieszkania,,drewniane,590,,590000.0
92,39,1,wtórny,blok,0,13,wielka płyta,miejskie,1980,do zamieszkania,spółdzielcze wł. z KW,plastikowe,348,2019-04-18,191000.0
93,34,2,wtórny,blok,4,10,wielka płyta,miejskie,1980,do zamieszkania,pełna własność,plastikowe,300,2019-04-14,185000.0
94,61,2,wtórny,blok,8,,,miejskie,,do zamieszkania,,plastikowe,,,295000.0
95,46,2,wtórny,blok,0,2,cegła,miejskie,,do zamieszkania,spółdzielcze własnościowe,plastikowe,,,272000.0
96,60,3,wtórny,blok,5,10,wielka płyta,miejskie,1980,do wykończenia,spółdzielcze wł. z KW,plastikowe,500,2019-04-11,265000.0
97,42,2,wtórny,blok,1,10,,,,do remontu,,plastikowe,,,240000.0
98,55.79,3,pierwotny,blok,1,3,,,2020,do wykończenia,pełna własność,,,,324236.0
99,45.99,2,pierwotny,blok,1,3,,,2020,do wykończenia,pełna własność,,,,274637.0
100,62.40,3,wtórny,blok,0,3,cegła,miejskie,1960,do zamieszkania,pełna własność,,745,,229400.0
101,47.20,2,wtórny,blok,10,,wielka płyta,miejskie,,do zamieszkania,spółdzielcze wł. z KW,plastikowe,532,,299000.0
102,34,1,wtórny,kamienica,1,,,,,do zamieszkania,,plastikowe,,,249000.0
103,52.45,3,wtórny,blok,2,4,pustak,miejskie,,do wykończenia,,,,,333000.0
104,34.02,2,wtórny,blok,2,4,pustak,miejskie,,do wykończenia,,,,,250000.0
105,78.60,4,wtórny,apartamentowiec,1,3,,gazowe,2011,do zamieszkania,pełna własność,drewniane,350,,549000.0
106,74.16,4,wtórny,blok,2,4,,miejskie,,do zamieszkania,spółdzielcze własnościowe,drewniane,700,,339000.0
107,52,2,wtórny,kamienica,1,,cegła,,,do remontu,pełna własność,drewniane,,2018-08-06,129000.0
108,52.39,2,wtórny,apartamentowiec,5,5,,miejskie,2014,do zamieszkania,pełna własność,plastikowe,500,,395000.0
109,70.10,3,wtórny,blok,4,4,cegła,,,do zamieszkania,spółdzielcze wł. z KW,plastikowe,400,,419000.0
110,76.87,4,wtórny,apartamentowiec,7,8,,miejskie,2017,do zamieszkania,pełna własność,plastikowe,600,,625000.0
111,30,1,wtórny,apartamentowiec,2,,,miejskie,2019,do wykończenia,pełna własność,plastikowe,,,198000.0
112,45.17,2,wtórny,blok,5,10,,miejskie,1980,do zamieszkania,spółdzielcze własnościowe,,,,250000.0
113,30,1,wtórny,apartamentowiec,2,,,miejskie,2019,do wykończenia,pełna własność,plastikowe,,,198000.0
114,37.31,2,wtórny,apartamentowiec,2,5,,miejskie,2019,do wykończenia,,plastikowe,,,266766.5
115,57.17,2,wtórny,blok,0,2,,gazowe,1970,do zamieszkania,pełna własność,plastikowe,300,,299000.0
116,72.85,4,pierwotny,blok,3,7,,,2020,,,,,,500000.0
117,72.85,4,pierwotny,blok,2,7,,,2020,,,,,,488000.0
118,138.06,4,pierwotny,apartamentowiec,4,4,silikat,miejskie,2018,do wykończenia,pełna własność,plastikowe,,2018-10-22,1140000.0
119,72.85,4,pierwotny,blok,1,7,,,2020,,,,,,481000.0
120,64.44,3,pierwotny,blok,1,7,pustak,miejskie,2020,do wykończenia,pełna własność,plastikowe,,,426000.0
121,104,3,wtórny,apartamentowiec,3,4,cegła,gazowe,2018,do zamieszkania,,plastikowe,,,1245000.0
122,45.59,2,wtórny,blok,2,15,,miejskie,,,,plastikowe,,,259000.0
123,61.19,2,wtórny,blok,10,,,miejskie,,do wykończenia,,plastikowe,,2019-03-18,295000.0
124,46,2,wtórny,blok,2,15,,miejskie,1970,do zamieszkania,spółdzielcze wł. z KW,,400,,259000.0
125,66.74,3,wtórny,blok,1,4,pustak,miejskie,1990,do remontu,,,,,285000.0
126,55.65,2,pierwotny,,3,,,miejskie,,,,,,,367000.0
127,59,3,wtórny,blok,4,,cegła,,,do remontu,,plastikowe,600,,260000.0
128,78,3,wtórny,apartamentowiec,0,4,,,,,,,800,,650000.0
129,66.41,3,pierwotny,blok,0,7,,,2020,,,,,,439000.0
130,55.38,3,wtórny,,7,10,,,,,,,,,250000.0
131,46,2,pierwotny,apartamentowiec,5,5,,miejskie,2018,do wykończenia,pełna własność,,,,301500.0
132,45,2,wtórny,,2,3,cegła,miejskie,,do zamieszkania,pełna własność,plastikowe,,,250000.0
133,79,4,wtórny,apartamentowiec,1,,inne,,,do zamieszkania,,plastikowe,350,,549000.0
134,47,2,pierwotny,apartamentowiec,0,5,,miejskie,2018,do wykończenia,pełna własność,,,,281500.0
135,38,2,wtórny,blok,4,12,,miejskie,,do zamieszkania,pełna własność,,,,269000.0
136,82,4,wtórny,blok,1,4,,miejskie,,,pełna własność,plastikowe,650,,319000.0
137,72,3,wtórny,blok,10,18,,,,do zamieszkania,spółdzielcze własnościowe,,800,,375000.0
138,45,2,wtórny,,2,3,cegła,miejskie,,do zamieszkania,pełna własność,plastikowe,520,,250000.0
139,70,3,pierwotny,apartamentowiec,2,5,,miejskie,2018,do wykończenia,pełna własność,,,,421500.0
140,89,3,wtórny,dom wolnostojący,0,2,cegła,miejskie,1906,do wykończenia,pełna własność,drewniane,600,2019-04-02,380000.0
141,59.87,4,pierwotny,blok,5,5,,miejskie,2019,,,,,,392149.0
142,78,4,wtórny,apartamentowiec,6,6,pustak,miejskie,,do zamieszkania,pełna własność,plastikowe,,2019-04-01,725000.0
143,59.07,4,pierwotny,blok,3,10,,miejskie,2019,,pełna własność,,,,348513.0
144,56,2,wtórny,blok,1,3,,,,do zamieszkania,pełna własność,plastikowe,214,,270000.0
145,55.70,3,wtórny,blok,7,10,żelbet,miejskie,1980,do zamieszkania,spółdzielcze własnościowe,plastikowe,700,,259000.0
146,70,3,wtórny,blok,10,12,,,,do remontu,,plastikowe,670,,369000.0
147,65.65,3,pierwotny,apartamentowiec,0,2,,,,do wykończenia,pełna własność,plastikowe,,,375364.0
148,21.30,1,wtórny,blok,1,10,,,,do zamieszkania,,plastikowe,,,150000.0
149,45.39,3,wtórny,blok,,4,,miejskie,1970,do zamieszkania,pełna własność,plastikowe,380,,295000.0
150,70.70,4,pierwotny,apartamentowiec,6,6,,miejskie,,do wykończenia,pełna własność,aluminiowe,,,636300.0
151,61,3,pierwotny,apartamentowiec,1,4,,miejskie,2019,do wykończenia,pełna własność,,160,,326075.0
152,56.07,3,pierwotny,apartamentowiec,2,6,,miejskie,,do wykończenia,pełna własność,aluminiowe,,,493416.0
153,54.05,3,pierwotny,apartamentowiec,0,6,,miejskie,,do wykończenia,pełna własność,aluminiowe,,,475640.0
154,72,3,pierwotny,apartamentowiec,1,4,,miejskie,2019,do wykończenia,pełna własność,,180,,396000.0
155,64,3,pierwotny,apartamentowiec,6,6,,miejskie,,do wykończenia,pełna własność,aluminiowe,,,627200.0
156,78.81,4,pierwotny,apartamentowiec,6,6,,miejskie,,do wykończenia,pełna własność,aluminiowe,,,693528.0
157,200,8,wtórny,kamienica,3,5,inne,miejskie,1920,do remontu,pełna własność,drewniane,1 000,,699000.0
158,58,3,wtórny,blok,1,12,beton,miejskie,1979,do wykończenia,pełna własność,plastikowe,410,2019-04-02,249000.0
159,46.22,2,wtórny,apartamentowiec,1,2,pustak,miejskie,2018,do wykończenia,pełna własność,plastikowe,,,295800.0
160,37.50,2,wtórny,,6,13,wielka płyta,miejskie,1966,do zamieszkania,,plastikowe,275,,229000.0
161,75.60,3,wtórny,,2,4,,,,,,,,,420000.0
162,62.53,3,pierwotny,blok,0,7,pustak,miejskie,2020,do wykończenia,pełna własność,plastikowe,,,428000.0
163,79,4,wtórny,apartamentowiec,1,3,pustak,gazowe,,do zamieszkania,pełna własność,drewniane,330,,549000.0
164,50.55,3,wtórny,blok,4,4,,miejskie,,,pełna własność,plastikowe,473,,329000.0
165,58.89,3,pierwotny,blok,1,2,pustak,,,,pełna własność,,,,344506.5
166,45.14,2,pierwotny,blok,1,2,pustak,,,,pełna własność,,,,259555.0
167,47,2,wtórny,blok,1,,,miejskie,,do zamieszkania,pełna własność,plastikowe,530,2019-04-25,259900.0
168,48.65,2,wtórny,blok,7,8,,miejskie,,,,,,,225000.0
169,82.28,4,pierwotny,,,,,,,,,,,,560000.0
170,36.20,2,wtórny,blok,10,13,wielka płyta,miejskie,,do zamieszkania,spółdzielcze własnościowe,plastikowe,390,,277000.0
171,58,3,wtórny,blok,8,10,,miejskie,,,,plastikowe,,,265000.0
172,46.91,2,pierwotny,apartamentowiec,5,5,pustak,miejskie,2019,do wykończenia,,,150,,300224.0
173,64,2,wtórny,apartamentowiec,0,4,,miejskie,2015,do zamieszkania,pełna własność,plastikowe,,,429000.0
174,43,2,wtórny,blok,7,10,wielka płyta,miejskie,,do zamieszkania,,plastikowe,,,279000.0
175,67,3,wtórny,blok,0,4,,miejskie,,do wykończenia,,plastikowe,,,285000.0
176,127,5,wtórny,,0,3,,gazowe,,do remontu,pełna własność,,,,330000.0
177,36,1,wtórny,blok,0,4,wielka płyta,miejskie,1990,do wykończenia,pełna własność,plastikowe,480,2019-06-01,140000.0
178,64,3,wtórny,blok,1,4,,miejskie,,,pełna własność,plastikowe,112,,410000.0
179,55,3,wtórny,blok,3,4,cegła,miejskie,1960,do zamieszkania,pełna własność,plastikowe,700,2019-04-15,350000.0
180,123,4,wtórny,apartamentowiec,2,2,cegła,elektryczne,,do zamieszkania,pełna własność,plastikowe,,2018-09-14,530000.0
181,47.60,2,wtórny,,5,7,,,,,,,,,465000.0
182,54.90,2,wtórny,kamienica,3,3,cegła,elektryczne,1910,do zamieszkania,pełna własność,drewniane,346.72,,159900.0
183,95,3,wtórny,kamienica,3,4,cegła,,1920,do remontu,pełna własność,drewniane,300,,309000.0
184,140,4,wtórny,kamienica,2,,cegła,miejskie,,,pełna własność,drewniane,,,550000.0
185,72,3,wtórny,,10,18,,,,,,plastikowe,600,,375000.0
186,35,2,wtórny,blok,4,10,wielka płyta,miejskie,1980,do zamieszkania,pełna własność,plastikowe,1,2019-04-19,185000.0
187,48,2,wtórny,blok,7,10,inne,miejskie,1975,do zamieszkania,spółdzielcze własnościowe,plastikowe,450,2019-04-30,239000.0
188,38.77,2,wtórny,blok,4,4,,miejskie,,,spółdzielcze własnościowe,plastikowe,460,,170000.0
189,72.12,4,wtórny,blok,9,10,wielka płyta,miejskie,1980,do zamieszkania,spółdzielcze własnościowe,plastikowe,380,,315000.0
190,74.20,4,wtórny,blok,4,4,wielka płyta,miejskie,1980,do remontu,spółdzielcze wł. z KW,plastikowe,600,,279000.0
191,42.28,2,pierwotny,,,,,,,,,,,,270592.0
192,55.29,2,wtórny,apartamentowiec,1,4,pustak,,2018,,pełna własność,,,2019-04-19,530000.0
193,131.68,5,pierwotny,,,,,,,,,,,,935000.0
